N,P,K,pH,Moisture,Temperature,Recommended Crop,Recommended Fertilizer & Quantity,Predicted Yield
42,23,53,7.1,53.0,20.3,Soybean,Urea - 45kg/ha,3.89
38,21,32,6.2,63.1,21.1,Soybean,DAP - 55kg/ha,2.62
74,15,67,6.1,56.8,24.4,Rice,DAP - 55kg/ha,3.4
65,36,22,7.3,63.8,29.1,Wheat,Potash - 40kg/ha,4.19
36,45,55,7.5,53.2,28.8,Soybean,Potash - 40kg/ha,5.29
72,21,57,6.0,35.4,27.8,Cotton,DAP - 60kg/ha,3.81
68,10,67,5.9,60.0,29.8,Cotton,Urea - 45kg/ha,3.53
71,15,54,5.8,55.4,21.1,Corn,Urea - 45kg/ha,4.31
69,33,61,6.1,43.9,28.8,Cotton,Urea - 50kg/ha,2.67
61,26,24,6.5,62.8,20.2,Wheat,Potash - 40kg/ha,3.74
69,44,56,5.5,65.3,24.2,Soybean,Urea - 45kg/ha,2.97
73,14,69,6.0,59.4,22.3,Soybean,Potash - 40kg/ha,3.39
43,48,42,7.2,49.4,23.6,Soybean,DAP - 60kg/ha,3.87
76,18,63,5.7,42.4,29.7,Wheat,Potash - 40kg/ha,2.7
25,25,53,7.2,39.1,23.3,Rice,DAP - 60kg/ha,5.29
38,17,26,6.6,63.2,26.3,Corn,DAP - 60kg/ha,3.46
70,27,47,6.0,56.0,26.9,Cotton,DAP - 55kg/ha,3.31
38,40,50,6.4,55.6,25.5,Corn,DAP - 55kg/ha,3.7
64,27,60,5.8,38.0,20.9,Corn,DAP - 60kg/ha,3.79
70,31,29,6.7,52.2,28.6,Soybean,Urea - 45kg/ha,5.34
31,33,56,5.7,69.5,27.9,Cotton,DAP - 55kg/ha,3.5
51,29,66,6.7,47.9,27.5,Corn,Urea - 45kg/ha,4.11
44,29,54,6.5,52.1,29.1,Soybean,Urea - 50kg/ha,4.24
51,26,44,5.5,65.0,23.5,Wheat,Potash - 40kg/ha,3.57
23,11,69,7.4,65.0,25.8,Soybean,Potash - 40kg/ha,5.24
58,43,25,5.6,32.6,27.8,Soybean,DAP - 55kg/ha,4.68
21,47,57,7.2,66.1,24.4,Wheat,Potash - 40kg/ha,5.02
42,25,56,6.0,56.2,29.6,Cotton,Urea - 45kg/ha,2.69
26,48,64,7.5,43.7,28.5,Cotton,Potash - 40kg/ha,5.37
39,36,50,7.5,60.7,25.3,Cotton,Urea - 50kg/ha,3.34
55,13,43,6.0,49.5,21.5,Rice,DAP - 60kg/ha,2.82
79,27,48,6.0,51.9,25.0,Corn,Potash - 40kg/ha,4.81
72,19,54,7.2,55.5,22.1,Soybean,DAP - 55kg/ha,3.26
36,11,56,5.8,62.3,24.1,Rice,DAP - 60kg/ha,3.92
41,27,54,5.5,48.9,22.7,Corn,Urea - 45kg/ha,4.98
26,40,21,6.8,40.4,28.1,Soybean,DAP - 60kg/ha,2.86
78,45,34,6.0,54.5,22.6,Cotton,Urea - 45kg/ha,2.95
71,49,63,6.2,68.9,25.9,Wheat,DAP - 55kg/ha,4.83
59,35,20,6.4,33.9,20.5,Rice,DAP - 55kg/ha,4.07
42,21,44,6.0,30.3,27.5,Wheat,DAP - 55kg/ha,3.27
33,12,29,5.7,45.5,24.5,Cotton,Urea - 45kg/ha,4.31
29,47,53,6.9,51.8,24.2,Corn,Urea - 50kg/ha,4.67
65,39,59,6.5,50.4,24.4,Wheat,DAP - 60kg/ha,3.92
20,45,24,7.0,42.6,27.1,Wheat,DAP - 60kg/ha,3.11
76,27,37,7.3,67.3,24.3,Corn,Urea - 45kg/ha,4.77
79,22,51,6.0,39.8,27.4,Rice,DAP - 60kg/ha,2.92
65,12,44,7.3,34.9,22.8,Rice,DAP - 55kg/ha,4.79
76,13,21,7.4,38.9,29.6,Soybean,Potash - 40kg/ha,3.45
36,21,50,6.1,33.9,25.1,Soybean,DAP - 60kg/ha,2.5
59,20,51,7.2,63.8,25.8,Cotton,Potash - 40kg/ha,4.13
33,20,40,6.0,46.1,27.0,Corn,DAP - 55kg/ha,3.58
68,30,37,7.2,63.2,25.8,Corn,DAP - 60kg/ha,3.3
75,32,64,7.3,55.5,25.6,Soybean,DAP - 60kg/ha,4.24
36,26,28,7.4,49.0,20.0,Rice,Potash - 40kg/ha,3.68
29,10,42,6.6,34.1,24.6,Rice,Urea - 50kg/ha,3.53
77,47,57,6.6,31.5,28.7,Soybean,Urea - 45kg/ha,5.17
37,41,42,5.7,52.3,29.2,Corn,Urea - 50kg/ha,2.79
54,16,35,6.6,38.0,22.9,Wheat,Urea - 45kg/ha,3.89
29,23,34,7.2,47.7,27.1,Wheat,DAP - 60kg/ha,3.36
62,10,43,5.5,67.9,28.6,Cotton,DAP - 60kg/ha,3.5
39,47,66,7.3,35.3,24.4,Rice,Urea - 50kg/ha,4.05
35,18,60,6.7,58.3,26.0,Corn,Potash - 40kg/ha,5.73
36,39,57,6.8,38.5,26.4,Rice,Urea - 50kg/ha,4.81
75,43,35,7.0,39.6,29.5,Wheat,Potash - 40kg/ha,3.18
58,35,62,7.4,55.5,24.8,Corn,DAP - 55kg/ha,4.5
69,26,40,6.9,35.2,27.8,Soybean,DAP - 60kg/ha,3.04
47,31,45,6.4,45.5,21.9,Wheat,Urea - 50kg/ha,5.6
28,28,64,7.2,45.2,25.9,Wheat,Urea - 50kg/ha,3.98
39,22,54,7.4,48.2,24.6,Corn,DAP - 60kg/ha,5.82
25,25,64,6.7,42.7,22.3,Rice,Urea - 45kg/ha,4.82
32,37,45,7.0,40.9,20.1,Wheat,Potash - 40kg/ha,5.42
28,49,67,6.6,61.3,25.9,Cotton,Urea - 50kg/ha,3.13
67,27,55,5.7,33.2,28.1,Wheat,DAP - 60kg/ha,5.49
52,21,22,6.7,64.0,28.1,Rice,Urea - 50kg/ha,3.16
54,26,45,6.6,63.5,23.9,Soybean,Urea - 45kg/ha,5.92
41,28,67,6.5,67.3,21.8,Wheat,Potash - 40kg/ha,3.48
42,45,26,6.6,39.6,29.4,Corn,Potash - 40kg/ha,4.89
65,46,42,6.2,66.7,23.8,Rice,Potash - 40kg/ha,4.41
44,48,60,7.1,48.0,23.5,Wheat,Urea - 45kg/ha,4.17
55,28,38,6.0,57.4,26.1,Soybean,Urea - 50kg/ha,4.0
74,33,32,6.4,64.1,24.4,Corn,DAP - 60kg/ha,3.84
26,36,42,6.9,32.5,23.4,Cotton,DAP - 60kg/ha,3.56
34,46,20,6.6,31.4,23.2,Wheat,Potash - 40kg/ha,4.59
48,10,25,5.8,38.1,23.9,Wheat,Urea - 50kg/ha,5.94
27,46,27,6.5,52.4,26.9,Rice,DAP - 55kg/ha,4.85
56,29,57,7.0,61.1,20.1,Soybean,DAP - 60kg/ha,5.15
29,35,47,5.6,61.0,22.0,Rice,DAP - 60kg/ha,4.79
29,48,47,7.2,65.7,22.6,Cotton,Urea - 50kg/ha,4.31
79,12,35,6.5,52.3,30.0,Cotton,DAP - 60kg/ha,5.36
69,21,51,6.6,52.4,28.8,Wheat,DAP - 55kg/ha,3.63
64,42,42,6.6,33.1,24.2,Cotton,Urea - 45kg/ha,3.46
32,33,25,6.0,60.6,27.0,Corn,Potash - 40kg/ha,3.84
38,29,26,6.3,49.2,22.4,Wheat,Urea - 45kg/ha,4.53
67,31,26,6.8,38.3,29.4,Corn,Potash - 40kg/ha,2.5
68,24,28,6.3,35.0,29.3,Cotton,Potash - 40kg/ha,5.42
42,29,45,7.4,65.6,21.6,Rice,Potash - 40kg/ha,3.56
74,32,66,7.3,53.1,29.3,Wheat,Urea - 45kg/ha,4.6
34,32,38,5.9,54.7,24.1,Rice,DAP - 55kg/ha,2.68
36,41,46,5.9,39.6,24.9,Wheat,DAP - 60kg/ha,4.01
29,19,60,6.3,52.0,26.9,Rice,DAP - 60kg/ha,2.74
75,39,32,6.7,36.4,24.8,Soybean,DAP - 55kg/ha,2.54
71,28,40,7.3,46.8,25.7,Wheat,DAP - 60kg/ha,5.26
59,40,61,5.8,39.8,24.5,Wheat,DAP - 55kg/ha,3.92
76,29,47,7.1,36.7,20.7,Corn,Urea - 45kg/ha,5.35
65,13,23,5.7,62.0,25.5,Soybean,Potash - 40kg/ha,3.68
52,29,27,6.6,56.5,20.5,Rice,DAP - 60kg/ha,4.77
75,18,52,6.7,62.0,21.0,Soybean,Urea - 50kg/ha,2.83
64,35,34,7.4,63.4,26.9,Rice,Urea - 45kg/ha,3.17
37,28,26,7.0,45.6,24.7,Wheat,DAP - 55kg/ha,4.15
23,36,25,6.9,60.2,25.4,Corn,Urea - 45kg/ha,4.04
78,48,69,5.6,59.4,21.7,Rice,Potash - 40kg/ha,3.18
23,28,35,7.0,39.9,26.9,Wheat,Potash - 40kg/ha,5.55
34,41,21,6.9,57.6,20.7,Cotton,Potash - 40kg/ha,3.49
50,19,44,6.9,67.1,22.5,Cotton,Urea - 50kg/ha,4.0
21,45,38,5.6,57.4,29.0,Cotton,Urea - 50kg/ha,3.68
31,33,56,6.3,43.1,20.3,Wheat,Urea - 50kg/ha,5.98
52,46,24,5.7,58.1,27.5,Wheat,Urea - 45kg/ha,3.71
65,45,39,7.3,53.2,21.6,Rice,Potash - 40kg/ha,3.43
79,28,42,6.2,62.2,28.3,Corn,DAP - 60kg/ha,5.67
69,33,34,7.3,40.9,26.1,Rice,DAP - 55kg/ha,3.05
39,23,28,6.1,36.5,20.3,Soybean,DAP - 60kg/ha,5.71
21,47,26,6.8,47.3,20.1,Wheat,Urea - 45kg/ha,4.49
58,24,56,5.5,55.1,25.8,Wheat,DAP - 55kg/ha,3.28
20,20,22,6.9,33.9,27.9,Corn,Urea - 45kg/ha,3.38
39,24,43,6.9,40.5,27.1,Rice,Potash - 40kg/ha,4.99
75,31,40,5.8,36.7,23.0,Rice,DAP - 55kg/ha,2.64
43,13,49,6.4,60.8,27.2,Wheat,Potash - 40kg/ha,5.0
33,33,37,6.9,58.2,22.8,Cotton,Urea - 45kg/ha,3.58
68,35,35,6.6,55.0,25.0,Rice,Potash - 40kg/ha,5.33
56,14,64,7.4,48.5,22.2,Soybean,DAP - 60kg/ha,2.94
60,47,69,5.9,47.9,21.2,Cotton,Potash - 40kg/ha,3.37
48,21,36,7.4,50.7,29.6,Cotton,DAP - 60kg/ha,4.04
40,11,68,6.5,62.7,26.5,Rice,DAP - 60kg/ha,5.58
51,47,46,7.5,53.8,22.2,Cotton,Potash - 40kg/ha,3.49
78,48,63,6.4,59.9,21.2,Soybean,Urea - 45kg/ha,5.45
72,39,29,7.2,40.4,22.6,Rice,Potash - 40kg/ha,2.86
57,37,39,7.2,49.1,23.7,Corn,Urea - 45kg/ha,3.11
75,14,66,6.6,55.2,28.7,Rice,DAP - 60kg/ha,3.05
42,36,40,7.0,42.6,26.8,Wheat,DAP - 55kg/ha,4.65
